icd9_code,icd10_code,approximate,no_map,combination,scenario,choice_list
01506,A1801,1,0,0,0,0
01510,A1802,1,0,0,0,0
01511,A1802,1,0,0,0,0
01512,A1802,1,0,0,0,0
01513,A1802,1,0,0,0,0
01514,A1802,1,0,0,0,0
01515,A1802,1,0,0,0,0
01516,A1802,1,0,0,0,0
01520,A1802,1,0,0,0,0
01521,A1802,1,0,0,0,0
01522,A1802,1,0,0,0,0
01523,A1802,1,0,0,0,0
01524,A1802,1,0,0,0,0
01525,A1802,1,0,0,0,0
01526,A1802,1,0,0,0,0
01550,A1803,1,0,0,0,0
01551,A1803,1,0,0,0,0
01552,A1803,1,0,0,0,0
01553,A1803,1,0,0,0,0
01554,A1803,1,0,0,0,0
01555,A1803,1,0,0,0,0
01556,A1803,1,0,0,0,0
01560,A1803,1,0,0,0,0
01561,A1803,1,0,0,0,0
01562,A1803,1,0,0,0,0
01563,A1803,1,0,0,0,0
01564,A1803,1,0,0,0,0
01565,A1803,1,0,0,0,0
01566,A1803,1,0,0,0,0
01570,A1803,1,0,0,0,0
01571,A1803,1,0,0,0,0
01572,A1803,1,0,0,0,0
01573,A1803,1,0,0,0,0
01574,A1803,1,0,0,0,0
01575,A1803,1,0,0,0,0
01576,A1803,1,0,0,0,0
01580,A1802,1,0,0,0,0
01581,A1802,1,0,0,0,0
01582,A1802,1,0,0,0,0
01583,A1802,1,0,0,0,0
01584,A1802,1,0,0,0,0
01585,A1802,1,0,0,0,0
01586,A1802,1,0,0,0,0
01590,A1802,1,0,0,0,0
01590,A1803,1,0,0,0,0
01591,A1802,1,0,0,0,0
01591,A1803,1,0,0,0,0
01592,A1802,1,0,0,0,0
01592,A1803,1,0,0,0,0
01593,A1802,1,0,0,0,0
01593,A1803,1,0,0,0,0
01594,A1802,1,0,0,0,0
01594,A1803,1,0,0,0,0
01595,A1802,1,0,0,0,0
01595,A1803,1,0,0,0,0
01596,A1802,1,0,0,0,0
01596,A1803,1,0,0,0,0
01600,A1811,1,0,0,0,0
01601,A1811,1,0,0,0,0
01602,A1811,1,0,0,0,0
01603,A1811,1,0,0,0,0
01604,A1811,1,0,0,0,0
01605,A1811,1,0,0,0,0
01606,A1811,1,0,0,0,0
01610,A1812,1,0,0,0,0
01611,A1812,1,0,0,0,0
01612,A1812,1,0,0,0,0
01613,A1812,1,0,0,0,0
01614,A1812,1,0,0,0,0
01615,A1812,1,0,0,0,0
01616,A1812,1,0,0,0,0
01620,A1811,1,0,0,0,0
01621,A1811,1,0,0,0,0
01622,A1811,1,0,0,0,0
01623,A1811,1,0,0,0,0
01624,A1811,1,0,0,0,0
01625,A1811,1,0,0,0,0
01626,A1811,1,0,0,0,0
01630,A1813,1,0,0,0,0
01631,A1813,1,0,0,0,0
01632,A1813,1,0,0,0,0
01633,A1813,1,0,0,0,0
01634,A1813,1,0,0,0,0
01635,A1813,1,0,0,0,0
01636,A1813,1,0,0,0,0
01640,A1815,1,0,0,0,0
01641,A1815,1,0,0,0,0
01642,A1815,1,0,0,0,0
01643,A1815,1,0,0,0,0
01644,A1815,1,0,0,0,0
01645,A1815,1,0,0,0,0
01646,A1815,1,0,0,0,0
